task,rgb_mean,rgb_std,rgb_n,state_mean,state_std,state_n,state_advantage
quadruped-walk,247.20477718114853,152.55941288291734,64,964.7934354894302,5.407790305115654,17,717.5886583082817
cheetah-run,444.579441686777,205.60543312807653,65,881.0608610930266,58.179931427146606,27,436.4814194062496
acrobot-swingup,142.08867074313918,101.05614198507264,76,507.95712098621186,134.7431153160548,21,365.8684502430727
walker-run,549.9521591302121,213.32786881406227,99,804.7858837890625,11.976137126501788,25,254.83372465885043
reacher-hard,860.311108397113,304.2345667886834,9,960.9225798576109,33.13783520795804,31,100.61147146049791
