step,reward,seed,ucb,lcb
0,289.4827087402344,0,358.605989408712,220.35942807175678
100000,943.2063842773438,0,1055.451160438506,830.9616081161815
200000,992.5123779296875,0,1006.5724839805108,978.4522718788643
300000,990.8653564453125,0,1004.8356108909818,976.8951019996432
400000,990.662646484375,0,1000.121723745869,981.2035692228811
500000,995.1792114257812,0,999.6536160891018,990.7048067624606
600000,984.679736328125,0,1009.1554155631387,960.2040570931114
700000,985.3224365234375,0,999.9099993810287,970.7348736658464
800000,991.9624267578125,0,999.8454095269061,984.0794439887189
900000,997.0481567382812,0,999.5858363641656,994.5104771123969
1000000,995.2839111328125,0,1001.9553210007714,988.6125012648536
