step,reward,seed,ucb,lcb
0,1.0594941258430481,0,1.2399848143140113,0.8790034373720851
100000,1.1368546962738038,0,1.2353005445344096,1.0384088480131979
200000,3.9217297792434693,0,7.406428765543856,0.4370307929430832
300000,263.9989730834961,0,462.2941148788191,65.70383128817306
400000,485.95556640625,0,570.4785404083633,401.4325924041367
500000,673.4478759765625,0,817.0651799839527,529.8305719691723
600000,823.5960815429687,0,877.8603605907964,769.331802495141
700000,905.9274047851562,0,926.7712416873095,885.083567883003
800000,921.4183471679687,0,933.2041433841708,909.6325509517666
900000,924.5577880859375,0,935.0698248652823,914.0457513065928
1000000,917.3847778320312,0,948.3064668880068,886.4630887760557
