step,reward,seed,ucb,lcb
0,6.8399999141693115,0,13.417116463257344,0.2628833650812785
100000,648.7199951171875,0,1005.4811357668909,291.9588544674842
200000,860.4800170898437,0,1068.1152429304777,652.8447912492097
300000,895.3000122070313,0,1023.8147399412169,766.7852844728457
400000,929.9599975585937,0,993.5145865765205,866.4054085406669
500000,928.3599975585937,0,986.8206961330237,869.8992989841637
600000,962.3800048828125,0,982.6790361483759,942.0809736172491
700000,965.9599975585937,0,982.1817740502785,949.738221066909
800000,955.3400024414062,0,1004.7245477659557,905.9554571168568
900000,964.8599853515625,0,981.886929707416,947.833040995709
1000000,971.7800048828125,0,978.7348390921838,964.8251706734411
