step,reward,seed,ucb,lcb
0,0.4400000095367432,0,1.532664351638919,-0.6526643325654327
100000,269.94000244140625,0,687.1886510404977,-147.30864615768513
200000,370.88000297546387,0,821.4201000776402,-79.66009412671241
300000,671.6400024414063,0,1072.4501395779462,270.8298653048663
400000,724.3800048828125,0,1006.966469462485,441.79354030314005
500000,757.7599853515625,0,897.5170510219134,618.0029196812116
600000,841.9799926757812,0,854.7065221636932,829.2534631878692
700000,847.1,0,848.1418112987637,846.0581887012363
800000,845.0199951171875,0,851.5006571969406,838.5393330374344
900000,847.37998046875,0,848.4607235117585,846.2992374257415
1000000,847.3199829101562,0,849.3758985928258,845.2640672274866
