step,reward,seed
0,113.24168395996094,0
50002,116.00760650634766,0
100065,131.19329833984375,0
150054,164.59580993652344,0
200391,150.59158325195312,0
250129,161.64474487304688,0
300451,295.064208984375,0
350327,212.72268676757807,0
400447,299.9626770019531,0
450333,317.09014892578125,0
500425,346.4017944335937,0
550090,201.94744873046875,0
600515,352.1621398925781,0
650067,232.43618774414065,0
700543,320.66033935546875,0
750706,334.59869384765625,0
800247,352.5835266113281,0
850261,327.8935852050781,0
900395,164.19349670410156,0
950244,334.8934631347656,0
1000141,200.71026611328125,0
1050161,260.0970153808594,0
1100801,329.6505126953125,0
1150054,241.2407684326172,0
1200091,260.5341796875,0
1250029,199.63296508789065,0
1300871,354.3095092773437,0
1350970,249.0278778076172,0
1400856,352.65924072265625,0
1450572,276.34539794921875,0
1500860,354.3094177246094,0
1550552,356.3197937011719,0
1600376,353.8619079589844,0
1650702,353.60791015625,0
1700702,352.91473388671875,0
1750617,354.3446655273437,0
1800145,353.67431640625,0
1850072,287.3100891113281,0
1900023,198.2533416748047,0
1950604,354.3201599121094,0
0,107.90313720703124,1
50063,113.5918960571289,1
100000,138.70022583007812,1
150085,132.3046112060547,1
200122,220.51889038085935,1
250505,240.85739135742188,1
300429,254.8616943359375,1
350435,254.6483612060547,1
400202,346.4740905761719,1
450011,252.1377410888672,1
500120,265.41973876953125,1
550025,337.0148010253906,1
600477,349.90191650390625,1
650619,353.32110595703125,1
700081,350.3211364746094,1
750301,330.4838256835937,1
800583,301.5854187011719,1
850258,271.12225341796875,1
900103,331.6264038085937,1
950270,136.35549926757812,1
1000066,322.66668701171875,1
1050064,270.6146545410156,1
1100978,350.47222900390625,1
1150439,354.2139587402344,1
1200007,348.4459533691406,1
1250488,351.8413391113281,1
1300932,331.0437316894531,1
1350077,352.8611755371094,1
1400152,331.5494689941406,1
1450152,336.7372436523437,1
1500364,354.37713623046875,1
1550368,356.69500732421875,1
1600784,311.2933959960937,1
1650324,354.2879943847656,1
1700324,354.2222595214844,1
1750780,354.3362731933594,1
1800057,331.5130310058594,1
1850018,154.75228881835938,1
1900226,354.04693603515625,1
1950784,353.7032775878906,1
0,112.7099838256836,2
50078,116.78470611572266,2
100020,128.3663787841797,2
150351,137.70620727539062,2
200023,212.80886840820312,2
250344,225.7121124267578,2
300976,291.89459228515625,2
350168,359.478759765625,2
400364,333.826416015625,2
450382,300.10955810546875,2
500578,313.354736328125,2
550116,328.1894226074219,2
600853,383.6046142578125,2
650997,340.0506896972656,2
700447,352.729736328125,2
750362,309.8321838378906,2
800637,336.3343505859375,2
850717,339.55303955078125,2
900174,227.3695526123047,2
950111,331.520263671875,2
1000261,389.1837768554688,2
1050173,182.71194458007807,2
1100251,298.56707763671875,2
1150444,344.6547241210937,2
1200024,321.9987487792969,2
1250181,349.6380920410156,2
1300079,353.81427001953125,2
1350028,286.3529052734375,2
1400421,352.8616638183594,2
1450818,354.2744140625,2
1500818,352.7076721191406,2
1550729,352.40594482421875,2
1600038,315.5164489746094,2
1650548,353.3827514648437,2
1700105,351.3483581542969,2
1750963,303.6214294433594,2
1800963,353.7287292480469,2
1850611,354.314208984375,2
1900705,329.5165710449219,2
1950578,351.66717529296875,2
0,108.9902114868164,3
50013,121.94970703125,3
100038,139.81480407714844,3
150050,165.1885528564453,3
200103,171.39004516601562,3
250091,203.86050415039065,3
300352,228.1558837890625,3
350156,288.77886962890625,3
400198,253.8553009033203,3
450074,302.64727783203125,3
500075,170.13265991210938,3
550908,340.781982421875,3
600050,246.1120147705078,3
650964,327.352294921875,3
700350,347.66436767578125,3
750158,343.24920654296875,3
800312,326.979248046875,3
850872,333.24053955078125,3
900056,291.19207763671875,3
950821,354.16436767578125,3
1000421,321.8808288574219,3
1050815,351.9068603515625,3
1100094,190.51467895507807,3
1150426,324.618408203125,3
1200960,313.1351928710937,3
1250183,353.3673400878906,3
1300937,353.1832580566406,3
1350172,349.2545166015625,3
1400889,345.614013671875,3
1450689,354.0844116210937,3
1500120,354.3160400390625,3
1550010,337.112548828125,3
