method,step,mean_normalized,std_normalized,n_tasks
Ours,10000,1.5097597235772888,1.1380630869656054,2
Ours,20000,0.6739578428307904,0.7140864997836163,8
Ours,30000,0.7903997323823206,0.5159964243596072,8
Ours,40000,0.8413427124900952,0.7048842039167449,8
Ours,50000,0.8924492686065231,0.4699759538694569,8
Ours,60000,0.972437891255304,0.4510139650983853,8
Ours,70000,0.7371625109863494,0.37962939403221785,8
Ours,80000,0.9968920293251933,0.29972374377367755,8
Ours,90000,0.9992536156452481,0.000859920148265633,3
