method,step,mean_reward,std_reward,n_tasks
Ours,10000,890.4984436035156,786.6640194187788,2
Ours,20000,259.6105808349652,491.26820034406774,8
Ours,30000,237.09985757443863,358.496013718529,8
Ours,40000,234.14471180924116,437.16740243955985,8
Ours,50000,284.84770012410274,335.4873992880057,8
Ours,60000,276.7079543652245,293.26355356196046,8
Ours,70000,193.7417055993775,230.3939819012197,8
Ours,80000,266.15164332223446,243.6122885034096,8
Ours,90000,236.3772457944931,265.54229862113715,3
