obs,task,step,final_mean,final_std,final_n,cv
RGB,finger-spin,2000000,988.9333333333334,2.761038451983873,3,0.0027919358756746727
RGB,reacher-easy,2000000,981.1666666666666,0.802080627701063,3,0.0008174764338723251
RGB,walker-walk,2000000,949.1666666666666,10.858330135584048,3,0.011439856156892763
RGB,finger-turn-easy,2000000,944.6666666666666,52.89861371844566,3,0.055997121085157725
RGB,reacher-hard,2000000,935.0333333333333,52.766687723727124,3,0.056432948262515194
RGB,finger-turn-hard,2000000,852.6,24.59837392999789,3,0.02885101328876131
RGB,cartpole-swingup-sparse,2000000,803.6333333333333,26.525522300858356,3,0.0330069961021092
RGB,walker-run,2000000,565.6999999999999,233.65399632790368,3,0.4130351711647582
RGB,cheetah-run,2000000,554.7666666666667,89.08144213770525,3,0.16057461179662066
RGB,quadruped-walk,2000000,521.8333333333334,191.8926870241108,3,0.3677279214770568
RGB,quadruped-run,2000000,370.23333333333335,98.49488988436573,3,0.26603463550292356
RGB,acrobot-swingup,2000000,280.5,58.82932941994155,3,0.2097302296611107
