task,mean_reward,std_reward,n_runs,min_reward,max_reward
quadruped-walk,912.9597598805148,80.89881417562817,17,612.363037109375,958.0771484375
reacher-hard,904.5161270633821,77.66546722712816,31,734.5999755859375,980.0999755859375
walker-run,777.9457958984375,35.40148608759004,25,655.4981689453125,808.4031982421875
cheetah-run,691.4334931550203,80.94894926534266,27,478.2616271972656,805.8589477539062
acrobot-swingup,318.1911617460705,82.13538125775194,21,116.89798736572266,460.87689208984375
