task,mean_reward,std_reward,n_runs,min_reward,max_reward
reacher-hard,964.5400085449219,26.78497879979066,30,862.7000122070312,985.7000122070312
quadruped-walk,953.8680348115809,12.998485197030258,17,921.609375,975.3546752929688
cheetah-run,837.6502052589699,77.95202544276985,27,584.7697143554688,907.6614379882812
walker-run,797.5474145507812,17.037957517344328,25,767.5244750976562,824.1915283203125
acrobot-swingup,510.29512968517486,102.77707029545716,21,199.19082641601562,648.9541015625
