task,mean_reward,std_reward,n_runs,min_reward,max_reward
reacher-hard,779.3516173824187,233.0920448729527,31,96.5999984741211,970.7999877929688
walker-run,750.5318676757812,21.3024099736529,25,693.6077270507812,787.0452270507812
cheetah-run,543.7512184425636,67.86714593031691,27,346.72283935546875,616.5247802734375
quadruped-walk,511.02659876206343,309.32837304490687,17,64.94454193115234,917.623046875
acrobot-swingup,240.50635710216704,81.14455629990536,21,93.20761108398438,395.169921875
