task,BMPC_mean,BMPC_std,BMPC_step,Ours_mean,Ours_std,Ours_step,SimbaV2_mean,SimbaV2_std,SimbaV2_step
H1 Balance Simple,69.37022399902344,,400093.0,81.73343658447266,,400065.0,250.64127038832288,75.51235312195186,400000.0
H1 Slide,195.17868041992188,,400269.0,315.67529296875,,400462.0,369.7871296777253,21.86954771812811,400000.0
H1 Walk,223.89865112304688,,400307.0,804.1063232421875,,400303.0,306.84359900043694,108.33224868196284,400000.0
