task,mean_reward,std_reward,n_runs,min_reward,max_reward
finger-spin,983.0999755859375,,1,983.0999755859375,983.0999755859375
walker-walk,917.9320068359375,,1,917.9320068359375,917.9320068359375
reacher-easy,795.1976216634115,139.02175460618022,42,332.20001220703125,990.5999755859375
finger-turn-hard,694.0499877929688,79.5495128834866,2,637.7999877929688,750.2999877929688
walker-run,565.0779741460627,93.45905148729615,88,110.0965576171875,662.6759033203125
finger-turn-easy,534.25,64.41741050274533,2,488.70001220703125,579.7999877929688
reacher-hard,460.9250030517578,235.46020464923285,8,262.1000061035156,880.2000122070312
cheetah-run,457.41917004501613,108.45185819921878,57,88.53534698486328,611.5776977539062
quadruped-walk,170.35306732871317,60.323528414259066,55,27.53786277770996,290.8183898925781
acrobot-swingup,147.2634276062695,82.97018069812272,67,4.9803876876831055,329.312744140625
